Plot_ID,Date,Sample_ID_MCSP3,LA,LW_fresh,LW_dry,LW_difference,notes
T7_R3_VR_N_1d,7/13/2021,MCSP_21_3g,8.7,0.1683,0.0425,0.1258,
T7_R3_IR_C_6a,7/13/2021,MCSP_22_1g,5.4,0.1019,0.0233,0.0786,
T7_R3_IR_C_6a,7/13/2021,MCSP_22_2g,5,0.1023,0.0274,0.0749,
T7_R3_IR_C_6a,7/13/2021,MCSP_22_3g,7.1,0.1581,0.0388,0.1193,
T7_R3_IR_N_6b,7/13/2021,MCSP_23_1g,3.9,0.0774,0.0174,0.06,
T7_R3_IR_N_6b,7/13/2021,MCSP_23_2g,5.3,0.1004,0.023,0.0774,
T7_R3_IR_N_6b,7/13/2021,MCSP_23_3g,5.4,0.1117,0.0261,0.0856,
T7_R3_IR_F_6c,7/13/2021,MCSP_24_1g,6.9,0.131,0.0305,0.1005,
T7_R3_IR_F_6c,7/13/2021,MCSP_24_2g,6.8,0.1366,0.0317,0.1049,
T7_R3_IR_F_6c,7/13/2021,MCSP_24_3g,3.8,0.0879,0.0239,0.064,
T7_R3_D1_F_7b,7/13/2021,MCSP_25_1g,4.6,0.0947,0.0221,0.0726,
T7_R3_D1_F_7b,7/13/2021,MCSP_25_2g,5.1,0.0948,0.0192,0.0756,
T7_R3_D1_F_7b,7/13/2021,MCSP_25_3g,5.3,0.1001,0.0241,0.076,
T7_R3_D1_C_7c,7/13/2021,MCSP_26_1g,3.9,0.0802,0.0205,0.0597,
T7_R3_D1_C_7c,7/13/2021,MCSP_26_2g,6,0.1323,0.0334,0.0989,
T7_R3_D1_C_7c,7/13/2021,MCSP_26_3g,5.4,0.1134,0.029,0.0844,
T7_R3_D1_N_7d,7/13/2021,MCSP_27_1g,3.9,0.0697,0.0183,0.0514,
T7_R3_D1_N_7d,7/13/2021,MCSP_27_2g,4.5,0.0887,0.0192,0.0695,
T7_R3_D1_N_7d,7/13/2021,MCSP_27_3g,4.3,0.0809,0.0189,0.062,
T7_R4_IR_C_3a,7/13/2021,MCSP_28_1g,4.8,0.1005,0.0259,0.0746,
T7_R4_IR_C_3a,7/13/2021,MCSP_28_2g,5.5,0.1202,0.0377,0.0825,
T7_R4_IR_C_3a,7/13/2021,MCSP_28_3g,6.5,0.1388,0.0347,0.1041,
T7_R4_IR_F_3b,7/13/2021,MCSP_29_1g,4.4,0.0892,0.0216,0.0676,
