Sample_ID,Date,Plot_ID,PLHE_red1,PLHE_red2,PLHE_red3,PLHE_golden1,PLHE_golden2 ,PLHE_golden3,Flower_Num,FC_perc,GC_perc,Comments 
MCSP_45,7/7/2021,T7_R2_IR_N_4d,33.9,31.1,37.8,63.1,44.1,52.3,21,0.5,5.5,
MCSP_46,7/7/2021,T7_R6_IR_F_4b,39.3,27.2,28.1,NA,NA,NA,86,25,3,
MCSP_47,7/7/2021,T7_R6_IR_N_4c,27.9,38.1,22.6,48.1,54.5,47.6,126,3,17,
MCSP_48,7/7/2021,T7_R6_IR_C_4d,27.9,31.8,34.4,60,62.1,54.3,93,2.5,3,
MCSP_49,7/7/2021,T7_R6_VR_N_5b,46.5,62.1,41.3,63.9,64.9,52.4,33,2,2,
MCSP_50,7/7/2021,T7_R6_VR_F_5c,42.9,54.6,40.5,58.4,58.6,63.8,24,1,4,
MCSP_51,7/7/2021,T7_R6_VR_C_5d,69.4,31.3,54.9,50.4,66.8,51.2,53,2.5,4.5,
MCSP_52,7/7/2021,T7_R6_D1_N_6a,29.4,29.8,46.7,50.1,49.6,79.6,41,1.5,12,
MCSP_53,7/7/2021,T7_R6_D1_C_6c,41.6,23.1,33.8,59.1,83.1,69.6,13,0.3,6,
MCSP_54,7/7/2021,T7_R6_D1_F_6d,52.5,52.4,34.1,53.9,68.3,75.5,27,1.5,12,
MCSP_55,7/19/2021,T7_R5_D1_F_1a,55.5,56.1,51.5,60.3,56.2,49.6,42,1.5,0,
MCSP_56,7/19/2021,T7_R5_D1_C_1c,37.4,59.5,57.1,46.4,54.6,69.1,28,1,1.5,
MCSP_57,7/19/2021,T7_R5_D1_N_1d,55.1,51.4,65.5,58,65.7,54.5,32,1.5,2,
MCSP_58,7/19/2021,T7_R5_IR_N_2b,63.5,43.1,63,58.1,51.8,80.9,62,1.3,2.5,
MCSP_59,7/19/2021,T7_R5_IR_F_2c,36.4,36.6,73.8,52.5,46.9,72.9,224,4.5,5,
MCSP_60,7/19/2021,T7_R5_IR_C_2d,71.3,54.5,59.6,53.5,60.5,56.5,295,6,2.5,
MCSP_61,7/19/2021,T7_R5_VR_C_7a,51.3,64.1,36.5,56.2,60.9,75.9,40,2,8.5,
MCSP_62,7/19/2021,T7_R5_VR_N_7b,33.5,43.9,59.1,57.2,52.1,49,72,1.5,4,
MCSP_63,7/19/2021,T7_R5_VR_F_7c,54.6,49.9,39.5,53.8,47.8,47.6,7,0.4,6.5,
MCSP_64,7/19/2021,T7_R1_IR_N_2b,57.5,36.6,28.3,52.7,39.5,68.4,44,1,7,
MCSP_65,7/19/2021,T7_R1_IR_F_2c,54.3,44.4,67.8,53.2,47.5,43.5,52,2,4,
MCSP_66,7/19/2021,T7_R1_IR_C_2d,43.3,51.9,74.8,44.7,50.3,54.1,45,2,1,
MCSP_67,7/19/2021,T7_R1_D1_C_4b,53.6,77.1,62.1,59.9,65.2,85.5,63,2.5,3,
MCSP_68,7/19/2021,T7_R1_D1_N_4c,70.4,61.3,49.5,71.3,64.4,62,59,2.5,1,
MCSP_69,7/19/2021,T7_R1_D1_F_4d,68.4,73.4,64.9,80.5,78.1,80.1,12,0.5,4,
